Map Name,Density %,Agent #,CBS Sum Of Cost,SIPP Sum Of Cost,CBS Makespan,SIPP Makespan,CBS Time,SIPP Time
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex82.yaml,18.75,1,4,4,4,4,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex83.yaml,18.75,1,3,3,3,3,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex84.yaml,18.75,1,4,4,4,4,0.0,0.001001119613647461
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex85.yaml,18.75,1,7,7,7,7,0.0,0.0009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex86.yaml,18.75,1,4,4,4,4,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex87.yaml,18.75,1,9,9,9,9,0.0009999275207519531,0.000997304916381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex88.yaml,18.75,1,12,12,12,12,0.0019752979278564453,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex89.yaml,18.75,1,6,6,6,6,0.0010175704956054688,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex9.yaml,18.75,1,9,9,9,9,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex90.yaml,18.75,1,6,6,6,6,0.0009765625,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex91.yaml,18.75,1,7,7,7,7,0.0009975433349609375,0.0009970664978027344
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex92.yaml,18.75,1,2,2,2,2,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex93.yaml,18.75,1,3,3,3,3,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex94.yaml,18.75,1,12,12,12,12,0.001995086669921875,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex95.yaml,18.75,1,9,9,9,9,0.0019943714141845703,0.0009968280792236328
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex96.yaml,18.75,1,9,9,9,9,0.0009970664978027344,0.0009984970092773438
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex97.yaml,18.75,1,8,8,8,8,0.0009970664978027344,0.000997304916381836
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex98.yaml,18.75,1,4,4,4,4,0.0,0.0
.\benchmark\8x8_obst12\map_8by8_obst12_agents1_ex99.yaml,18.75,1,9,9,9,9,0.0009970664978027344,0.0009975433349609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex0.yaml,18.75,2,12,10,9,7,0.007958173751831055,0.001992940902709961
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex1.yaml,18.75,2,14,14,10,10,0.001990079879760742,0.0029926300048828125
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex10.yaml,18.75,2,14,14,11,11,0.002003192901611328,0.0019941329956054688
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex11.yaml,18.75,2,12,12,7,7,0.0010173320770263672,0.0019741058349609375
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex12.yaml,18.75,2,13,13,7,7,0.000997304916381836,0.001995086669921875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex13.yaml,18.75,2,13,13,9,9,0.0019865036010742188,0.0019953250885009766
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex14.yaml,18.75,2,18,18,12,12,0.000997781753540039,0.002016305923461914
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex15.yaml,18.75,2,11,11,7,7,0.0009996891021728516,0.0020155906677246094
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex16.yaml,18.75,2,7,7,4,4,0.000997781753540039,0.0009984970092773438
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex17.yaml,18.75,2,18,18,10,10,0.002991914749145508,0.001993417739868164
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex18.yaml,18.75,2,13,13,8,8,0.0009975433349609375,0.0019958019256591797
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex19.yaml,18.75,2,14,14,8,8,0.0009899139404296875,0.001980304718017578
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex2.yaml,18.75,2,13,13,8,8,0.000978231430053711,0.0019948482513427734
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex21.yaml,18.75,2,18,18,14,14,0.0029914379119873047,0.0010173320770263672
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex22.yaml,18.75,2,17,17,11,11,0.0049855709075927734,0.0019750595092773438
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex23.yaml,18.75,2,12,12,9,9,0.0010287761688232422,0.002015352249145508
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex24.yaml,18.75,2,15,15,10,10,0.0009970664978027344,0.002018451690673828
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex25.yaml,18.75,2,21,21,11,11,0.002991199493408203,0.0019948482513427734
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex26.yaml,18.75,2,13,13,7,7,0.000997304916381836,0.0019953250885009766
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex27.yaml,18.75,2,11,11,8,8,0.0,0.0009996891021728516
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex28.yaml,18.75,2,22,22,13,13,0.0030121803283691406,0.0029931068420410156
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex29.yaml,18.75,2,14,14,10,10,0.00498652458190918,0.001997232437133789
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex3.yaml,18.75,2,15,15,10,10,0.0029921531677246094,0.0019969940185546875
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex30.yaml,18.75,2,14,14,8,8,0.0010180473327636719,0.0019943714141845703
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex31.yaml,18.75,2,17,17,10,10,0.002991199493408203,0.001994609832763672
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex32.yaml,18.75,2,21,21,11,11,0.003989219665527344,0.001993894577026367
.\benchmark\8x8_obst12\map_8by8_obst12_agents2_ex33.yaml,18.75,2,20,20,11,11,0.001993894577026367,0.0019943714141845703
